Timestamp,SiteID,Day of Week,Scientist,Verified By,checksum
1992-12-16T09:00:00Z,AK1,4,AK1_SCI28,dicgr128,f43c7b77b581aa006430e782ab5a1687
1993-01-20T08:30:00Z,AK1,4,AK1_SCI80,dicgr128,6d23d9b66585ef85c2893f49c952e26d
1993-02-17T08:45:00Z,AK1,4,AK1_SCI22,dicgr128,d89b1708e8d50f9e7ec7194a763a6c94
1993-03-17T08:30:00Z,AK1,4,AK1_SCI28,dicgr128,7f194279de536b006f2ad89fc3b13a35
1993-04-14T09:30:00Z,AK1,4,AK1_SCI80,dicgr128,c80ef23c9177b5f9b7932a26b4d86c68
1993-05-12T09:50:00Z,AK1,4,AK1_SCI28,dicgr128,e0cafd7a329612d3cc2267fddcb14596
1993-06-09T09:45:00Z,AK1,4,AK1_SCI28,dicgr128,9820478bc4bb11619fd865f814b41372
1993-07-07T09:45:00Z,AK1,4,AK1_SCI22,dicgr128,983fc0d6ee1e9bb69b1b7d4354aecc60
1993-08-04T09:45:00Z,AK1,4,AK1_SCI22,dicgr128,3573efdb029a6d818b189687d1974e73
1993-09-01T09:35:00Z,AK1,4,AK1_SCI80,dicgr128,715e9bfe179b66664108683e539fb7b2
1993-09-29T09:35:00Z,AK1,4,AK1_SCI22,dicgr128,f47e04c9fe1d07bb415a488ef487d90c
1993-10-27T09:00:00Z,AK1,4,AK1_SCI80,dicgr128,412c5095566aa866b42986439c29ea92
1993-11-24T08:45:00Z,AK1,4,AK1_SCI28,dicgr128,e5ec778e7a24b54c85eb22596ac61ae3
1993-12-22T09:00:00Z,AK1,4,AK1_SCI80,dicgr128,f681c9c83ddae350729345acbea82dcf
1994-01-19T09:15:00Z,AK1,4,AK1_SCI22,dicgr128,ee154eeadbdf84b021f8a7cf7a537bc5
1994-02-16T08:55:00Z,AK1,4,AK1_SCI28,dicgr128,8fb50f33b28980174e6793a6499e9a93
1994-03-16T09:00:00Z,AK1,4,AK1_SCI22,dicgr128,27fd18664b9c3d364e0de0a9aa6b4b90
1994-04-13T09:30:00Z,AK1,4,AK1_SCI22,dicgr128,97859c452b55eeb07711cfb6723cba79
1994-05-11T09:45:00Z,AK1,4,AK1_SCI22,dicgr128,59f05efd0ff9a014764e1ee85e0af04e
