,checksum,Absorbance Coefficient,Ammonia,Cloud Cover,Dissolved Oxygen Saturation,Dissolved Reactive Phosphate,E Coli,Electrical Conductivity,Nitrate + Nitrite,Ring Temp,Total Nitrogen,Total Phosphate,Turbidity,Water Temp,pH,SiteID,Region,Name,Longitude,Latitude,Timestamp
11332,dc8ee5c7327a17b27d068d402c5ba61e,0.6,5.0,0.0,101.3,14.1,12.2,93.8,98.0,-15.3162495419538,131.0,18.0,1.16,12.25,7.62,TU2,Turangi,Tongariro at Turangi,175.8128846,-38.9962824,2020-12-17T07:45:00Z
11333,dc90a886c34ac09cfd2c5c244d5d16e5,14.46,13.0,6.0,89.3,29.5,161.6,192.0,236.0,15.37042614996084,561.0,65.0,7.6,18.9,7.4,AK1,Auckland,Hoteo at Gubbs,174.5167757,-36.38708527,2008-03-12T09:40:00Z
11334,dc92738c91d3065b8c0d6a586a6c7811,1.7,1.0,4.0,100.8,1.5,21.8,154.0,3.0,15.448300878459092,65.0,8.0,0.37,18.5,8.18,WA5,Wanganui,Rangitikei at Mangaweka,175.8079005,-39.81209364,2007-02-21T08:55:00Z
11335,dc98b8c48003325ba00656aaab09cbaf,2.0,0.0,8.0,104.8,2.6,88.4,180.0,1.0,15.20789268871266,128.0,10.0,1.7,19.6,8.17,WA6,Wanganui,Rangitikei at Kakariki,175.444118,-40.12680338,2006-01-18T10:30:00Z
11336,dc9f34be77ee45928a96b0a3e179db56,10.9,15.0,6.0,99.6,10.2,1553.07,60.9,168.0,15.483216721062842,500.0,253.0,116.0,13.1,7.34,WN3,Wellington,Ruamahanga at Waihenga,175.4394258,-41.1971596,2006-11-15T11:00:00Z
11337,dca10ab9219a961db1d8e4d3326148c2,3.2,7.0,7.0,108.2,5.0,14.8,181.0,1457.0,15.281688389422158,1567.0,12.0,0.75,12.1,7.79,WN4,Wellington,Ruamahanga at Wardells,175.6713489,-41.00468332,2006-09-13T14:00:00Z
11338,dcadf3a8549065c100fe849bbde2e9fb,0.61,1.0,1.0,98.6,0.7,2.0,59.9,5.0,-14.848568955673809,38.0,3.0,1.52,10.6,7.75,TK4,Tekapo,Waitaki at Kurow,170.4510967,-44.70218919,2009-05-14T13:00:00Z
11339,dcb01af20955b71e999d1b070a2e33c2,0.7,2.0,5.0,105.2,0.3,5.2,115.7,5.0,-15.654072953432918,36.0,17.0,3.35,16.9,8.0,AX3,Alexandra,Shotover at Bowens Peak,168.7149003,-44.9916064,2012-01-17T15:00:00Z
11340,dcb06b99aca4238fa02178c80b55ba6e,1.0,5.0,0.0,100.9,15.5,7.3,94.7,95.0,-13.135067568589058,134.0,18.0,1.68,7.1,7.51,TU2,Turangi,Tongariro at Turangi,175.8128846,-38.9962824,2016-08-18T08:55:00Z
11341,dcc715f8a07fdfb50cd3743efe5d4a92,0.9,0.0,4.0,99.9,0.2,8.6,74.8,56.0,14.778362562591296,104.0,3.0,1.91,10.4,7.75,DN4,Dunedin,Clutha at Balclutha,169.7478532,-46.23889062,2020-05-20T14:50:00Z
